Geography,Total_Population_15_Years_And_Over,Now_married_Except_Separated_15_Years_And_Over,Widowed_15_Years_And_Over,Divorced_Population_15_Years_And_Over,Separated_Population_15_Years_And_Over,Never_Married_Estimate_Population_15_Years_And_Over,Total_Males_15_Years_And_Over,Now_Married_Males_15_Years_And_Over,Widowed_Males_15_Years_And_Over,Divorced_Males_15_Years_And_Over,Separated_Males_15_Years_And_Over,Never_Married_Males_15_Years_And_Over,Total_Males_15_Years_And_Over_15_To_19_Years,Now_Married_Except_Separated_Males_15_To_19_Years,Widowed_Males_15_To_19_Years,Divorced_Males_15_To_19_Years,Separated_Males_15_To_19_Years,Never_Married_Males_15_To_19_Years,Total_Males_20_To_34_Years,Now_Married_Except_Separated_Males_20_To_34_Years,Widowed_Males_20_To_34_Years,Divorced_Males_20_To_34_Years,Separated_Males_20_To_34_Years,Never_Married_Males_20_To_34_Years,Total_Males_35_To_44_Years,Now_Married_Males_35_To_44_Years,Widowed_Males_35_To_44_Years,Divorced_Males_35_To_44_Years,Separated_Males_35_To_44_Years,Never_Married_Males_35_To_44_Years,Total_Males_45_To_54_Years,Now_Married_Except_Separated_Males_15_Years_And_Over_45_To_54_Years,Widowed_Males_45_To_54_Years,Divorced_Males_45_To_54_Years,Separated_Males_45_To_54_Years,Never_Married_Males_45_To_54_Years,Total_Males_55_To_64_Years,Now_Married_Except_Separated_Males_55_To_64_Years,Widowed_Males_55_To_64_Years,Divorced_Males_55_To_64_Years,Separated_Males_55_To_64_Years,Never_Married_Males_55_To_64_Years,Total_Males_65_Years_And_Over,Now_Married_Except_Separated_Males_65_Years_And_Over,Widowed_Males_65_Years_And_Over,Divorced_Males_65_Years_And_Over,Separated_Males_65_Years_And_Over,Never_Married_65_Years_And_Over,Total_Females_15_Years_And_Over,Now_Married_Except_Separated_Females_15_Years_And_Over,Widowed_Females_15_Years_And_Over,Divorced_Females_15_Years_And_Over,Separated_Females_15_Years_And_Over,Never_Married_Females_15_Years_And_Over,Total_Females_15_To_19_Years,Now_Married_Except_Separated_Females_15_To_19_Years,Widowed_Females_15_To_19_Years,Divorced_Females_15_To_19_Years,Separated_Females_15_To_19_Years,Never_Married_Females_15_To_19_Years,Total_Females_20_To_34_Years,Now_Married_Except_Separated_Females_20_To_34_Years,Widowed_Females_20_To_34_Years,Divorced_Females_20_To_34_Years,Separated_Females_20_To_34_Years,Never_Married_Females_20_To_34_Years,Total_Females_35_To_44_Years,Now_Married_Except_Separated_Females_35_To_44_Years,Widowed_Females_35_To_44_Years,Divorced_Females_35_To_44_Years,Separated_Females_35_To_44_Years,Never_Married_Females_35_To_44_Years,Total_Females_45_To_54_Years,Now_Married_Except_Separated_Females_45_To_54_Years,Widowed_Females_45_To_54_Years,Divorced_Females_45_To_54_Years,Separated_Females_45_To_54_Years,Never_Married_Females_45_To_54_Years,Total_Females_55_To_64_Years,Now_Married_Except_Separated_55_To_64_Years,Widowed_Females_55_To_64_Years,Divorced_Females_55_To_64_Years,Separated_Females_55_To_64_Years,Never_Married_Females_55_To_64_Years,Total_Females_65_Years_And_Over,Now_Married_Except_Separated_Females_65_Years_And_Over,Widowed_Females_65_Years_And_Over,Divorced_Females_65_Years_And_Over,Separated_Females_65_Years_And_Over,Never_Married_Females_65_Years_And_Over,Total_Population_One_Race,Now_Married_Except_Separated_One_Race,Widowed_One_Race,Divorced_One_Race,Separated_One_Race,Never_Married_One_Race,Total_Population_White,Now_Married_Except_Separated_White,Widowed_White,Divorced_White,Separated_White,Never_Married_White,Total_Population_Black,Now_Married_Except_Separated_Black,Widowed_Black,Divorced_Black,Separated_Black,Never_Married_Black,Total_Population_American_Indian_And_Alaska_Native,Now_Married_Except_Separated_American_Indian_And_Alaska_Native,Widowed_American_Indian_And_Alaska_Native,Divorced_American_Indian_And_Alaska_Native,Separated_American_Indian_And_Alaska_Native,Never_Married_American_Indian_And_Alaska_Native,Total_Population_Asian,Now_Married_Except_Separated_Asian,Widowed_Asian,Divorced_Asian,Separated_Asian,Never_Married_Asian,Total_Population_Native_Hawaiian_And_Other_Pacific_Islander,Now_Married_Except_Separated_Native_Hawaiian_And_Other_Pacific_Islander,Widowed_Native_Hawaiian_And_Other_Pacific_Islander,Divorced_Native_Hawaiian_And_Other_Pacific_Islander,Separated_Native_Hawaiian_And_Other_Pacific_Islander,Never_Married_Native_Hawaiian_And_Other_Pacific_Islander,Total_Population_Some_Other_Race,Now_Married_Except_Separated_Some_Other_Race,Widowed_Some_Other_Race,Divorced_Some_Other_Race,Separated_One_Race_Some_Other_Race,Never_Married_Some_Other_Race,Total_Population_Two_Or_More_Races,Now_Married_Except_Separated_Two_Or_More_Races,Widowed_Two_Or_More_Races,Divorced_Two_Or_More_Races,Separated_Two_Or_More_Races,Never_Married_Two_Or_More_Races,Total_Hispanic_Or_Latino_Origin,Now_Married_Except_Separated_Hispanic_Or_Latino_Origin,Widowed_Estimate_Hispanic_Or_Latino_Origin,Divorced_Hispanic_Or_Latino_Origin,Separated_Hispanic_Or_Latino_Origin,Never_Married_Hispanic_Or_Latino_Origin,Total_White_Not_Hispanic_Or_Latino,Now_Married_Except_Separated_White_Not_Hispanic_Or_Latino,Widowed_White_Not_Hispanic_Or_Latino,Divorced_White_Not_Hispanic_Or_Latino,Separated_White_Not_Hispanic_Or_Latino,Never_Married_White_Not_Hispanic_Or_Latino,Total_Population_Native,Now_Married_Except_Separated_Native,Widowed_Native,Divorced_Native,Separated_Native,Never_Married_Native,Total_Population_Foreign_Born,Now_Married_Except_Separated_Foreign_Born,Widowed_Estimate_Foreign_Born,Divorced_Foreign_Born,Separated_Foreign_Born,Never_Married_Foreign_Born,Total_LABOR_FORCE_PARTICIPATION_Males,Now_Married_Except_Separated_LABOR_FORCE_PARTICIPATION_Males,Widowed_LABOR_FORCE_PARTICIPATION_Males,Divorced_LABOR_FORCE_PARTICIPATION_Males,Separated_LABOR_FORCE_PARTICIPATION_Males,Never_Married_LABOR_FORCE_PARTICIPATION_Males,Total_Males_In_Labor_Force,Now_Married_Except_Separated_Males_In_Labor_Force,Widowed_Males_In_Labor_Force,Divorced_Males_In_Labor_Force,Separated_Males_In_Labor_Force,Never_Married_Males_In_Labor_Force,Total_LABOR_FORCE_PARTICIPATION_Females,Now_Married_Except_Separated_LABOR_FORCE_PARTICIPATION_Females,Widowed_LABOR_FORCE_PARTICIPATION_Females,Divorced_LABOR_FORCE_PARTICIPATION_Females,Separated_LABOR_FORCE_PARTICIPATION_Females,Never_Married_LABOR_FORCE_PARTICIPATION_Females,Total_Females_In_Labor_Force,Now_Married_Except_Separated_Females_In_Labor_Force,Widowed_Females_In_Labor_Force,Divorced_Females_In_Labor_Force,Separated_Females_In_Labor_Force,Never_Married_Females_In_Labor_Force,Percent_Imputed
Alabama,3870865,48.7,7.2,12.4,2.6,29.1,1854423,51.4,3,11.4,2.2,32.1,169632,0.7,0,0.1,0,99.2,474447,31.7,0.1,5.1,1.8,61.2,300864,60.8,0.5,15.2,3.2,20.2,331402,63.6,1.6,18.7,3,13.2,288146,68.7,3.1,17.5,2.7,8.1,289932,72.3,13.4,9.7,1.4,3.2,2016442,46.2,11.1,13.4,3,26.3,162655,1.5,0,0.2,0.1,98.2,483389,37.3,0.4,7.1,3.4,51.8,314511,59.4,1.5,17.3,5.6,16.2,350551,60.9,4,20.5,4.1,10.5,314694,61,10.3,19.6,2.7,6.3,390642,40.2,43.5,12.1,0.9,3.3,3827851,48.8,7.2,12.4,2.6,29,2739287,55.7,7.4,12.4,1.8,22.7,983508,29.2,6.9,13,4.8,46.1,20348,48.4,7.4,15.4,3,25.7,45001,60.8,3.2,5.6,0.8,29.6,1201,46.1,5.7,16.7,3.3,28.2,38506,48.3,1.8,5.3,3.5,41.1,43014,39.6,6.2,13.5,3.2,37.5,126488,48,2.1,6.6,2.6,40.6,2658630,55.9,7.6,12.5,1.8,22.2,3714583,48.3,7.3,12.7,2.6,29.1,156282,58.4,3.3,6.3,2.3,29.8,1820980,52.3,3,11.6,2.2,30.9,1187147,57.1,1.1,11,2.1,28.6,1985454,46.9,11.2,13.6,3.1,25.2,1072197,49.1,3.6,15.5,3.4,28.3,3.5
Alaska,563759,49.5,3.8,12,2,32.8,294790,48.4,1.8,11,1.7,37.1,27452,0.6,0,0,0,99.3,88140,32.7,0.1,4.5,1.1,61.5,47973,60.4,0.5,12.1,2.3,24.8,55428,61.4,0.8,18.7,2.8,16.3,46852,66.1,2.9,17.2,2.3,11.5,28945,68.1,10.9,14.3,1.3,5.3,268969,50.7,5.9,13,2.2,28.2,24160,2,0,0,0.1,97.9,76730,43.6,0.4,6.1,2.3,47.6,44389,67.7,1.2,13.9,2.9,14.3,51422,63.3,2.7,20.6,2.8,10.6,42196,63.8,7.9,19.3,2.8,6.3,30072,43.1,34.2,18.1,1.1,3.6,531727,50.5,3.9,11.9,1.9,31.7,394053,54.1,3.6,12.5,1.8,28,19408,36.9,2.9,15.8,1.6,42.8,74473,34.2,5.4,9.6,2.5,48.4,31655,53.3,6,8.5,2.4,29.9,5417,50.7,1.8,3.7,4.4,39.3,6721,49,1.7,12.7,2,34.5,32032,32.2,1.5,12.5,2.7,51.1,29506,46,1.9,10.6,2.3,39.2,376635,54.3,3.6,12.7,1.7,27.6,515902,48.7,3.5,12.1,1.9,33.7,47857,57.9,6.1,10,2.8,23.2,288968,49.4,1.8,11.2,1.8,35.8,218275,52.8,0.8,11,1.8,33.6,264246,51.6,6,13.3,2.3,26.9,174762,51.8,2.6,14.7,2.6,28.3,2.8
Arizona,5128576,48.5,5.5,12.3,1.9,31.9,2531781,49.7,2.5,10.6,1.6,35.5,234803,0.9,0,0.1,0.1,98.8,682811,29.7,0.1,3.7,1.1,65.3,418548,59.7,0.4,12.9,2.3,24.8,414745,60.9,1,18.5,2.8,16.8,355130,67.5,2.6,18.8,2,9.1,425744,73.1,11.3,10.9,1.1,3.6,2596795,47.3,8.4,13.8,2.2,28.3,221045,1.9,0,0.1,0.1,97.8,644494,37.6,0.3,5.9,2.3,53.9,408603,59.8,1.2,16.9,3.7,18.4,425060,60,3.1,21.6,3.3,12.1,391615,61,7.5,22.4,2.1,7,505978,48.3,33.2,14.3,0.8,3.4,5019416,48.8,5.5,12.3,1.9,31.5,4150986,50.5,5.9,12.9,1.7,29,205160,31,4,13.5,2.8,48.7,210243,30.3,4.7,9,3.1,52.9,150013,59.8,3.6,6.3,1.1,29.2,9735,44.4,2.5,9.9,1.7,41.5,293279,44.8,2.8,9.1,3,40.3,109160,35.1,3.4,10.6,1.9,49,1346846,43.4,3.3,9.1,2.9,41.4,3163432,52.6,6.7,14,1.4,25.3,4299544,46.3,5.6,13,1.7,33.4,829032,60,4.7,8.3,3,24.1,2486851,50.6,2.6,10.8,1.6,34.4,1640405,53.2,0.8,10.6,1.6,33.7,2552860,48.1,8.5,14.1,2.2,27.1,1416103,46.6,2.8,16.9,2.7,31.1,4.2
Arkansas,2341416,51.2,7,12.9,2.4,26.4,1137143,53.3,2.9,12,2.1,29.6,102998,0.9,0,0,0.1,98.9,293597,36.4,0.1,6.1,2,55.5,182282,62.4,0.4,16,3.2,18,196563,64.4,1.4,20,3.2,11.1,172794,69.9,3.1,18,2.2,6.9,188909,72.9,12.7,10.3,1,3.1,1204273,49.2,10.8,13.8,2.8,23.4,98020,2.7,0,0.1,0.2,97,289885,43,0.4,8.3,3.7,44.6,184259,62.6,1.5,18.7,4.7,12.5,203341,62.4,3.6,21.4,3.7,8.9,185955,62.9,9.8,19.7,2.4,5.3,242813,43.5,41.6,11.3,0.7,2.8,2306335,51.4,7,12.9,2.4,26.3,1871769,55.3,7.3,13.1,1.9,22.3,343872,29.1,6.5,13.5,5,45.8,14311,49.3,4.8,15.4,3.6,26.9,29882,59.1,2.9,5.9,1.2,30.9,3457,48.1,0.2,5.6,0,46.1,43044,53.4,1.7,5.7,2.3,37,35081,39.2,5.9,14.4,3.9,36.6,125302,51.4,1.9,6.7,2.5,37.5,1794546,55.5,7.5,13.3,1.9,21.7,2216902,50.6,7.2,13.3,2.4,26.4,124514,61.2,3.3,6.2,2.2,27,1116851,54.3,3,12.2,2.1,28.4,726319,58.5,0.9,11.8,2,26.8,1184592,50,11,14,2.8,22.2,646656,52.3,3.7,16.5,3.3,24.2,2.4
California,30048767,46.9,5.1,9.6,2.3,36,14836120,48.2,2.1,8,1.9,39.7,1416849,0.8,0,0.1,0.1,99,4253408,26.4,0.1,2.4,1.2,69.9,2598024,61.5,0.3,8.5,2.7,26.9,2603567,64.9,0.9,13.1,2.9,18.1,2019754,68.5,2.2,15.4,2.5,11.5,1944518,69.3,12.1,11.1,1.7,5.8,15212647,45.7,8,11.2,2.7,32.4,1333269,1.6,0,0,0.1,98.3,4010389,34.4,0.2,3.7,2.1,59.6,2574349,63.3,0.9,11.2,4.1,20.5,2630207,62,2.8,17.1,4.2,13.9,2162086,59.3,7.9,20,3.3,9.5,2502347,40.3,37.6,15.1,1.6,5.4,29037349,47.3,5.2,9.6,2.3,35.5,19087493,48.2,5.6,10.7,2.2,33.3,1816604,28.8,5.5,13.3,3.8,48.6,228421,38.6,4.6,12.7,3.5,40.6,4187310,55.9,5.2,5.6,1.4,31.8,117632,47.2,4.2,8.3,2.7,37.5,3599889,43,2.7,6.4,3.3,44.6,1011418,35,3,9.3,2.3,50.4,10319583,43.6,3.2,6.9,3.2,43.1,12910349,49.9,6.7,12.5,1.7,29.3,20222989,40.6,5,10.9,2,41.6,9825778,59.9,5.4,7.1,3,24.6,14564822,49.1,2.2,8.2,1.9,38.6,10288954,53.2,0.7,7.7,2,36.4,14951773,46.5,8.2,11.4,2.8,31.3,8657290,47.1,2.6,12.8,3.3,34.3,3.8
Colorado,4090545,51.4,4.5,11.8,1.7,30.7,2041854,52,2,10.1,1.5,34.4,176270,0.8,0,0.1,0.1,99,573886,32.3,0.1,3.9,1.3,62.5,361905,64.3,0.4,11.8,2.3,21.3,363287,66,0.9,16,2,15,304969,70.4,2,17.4,1.4,8.9,261537,72.3,11.4,11.7,0.8,3.8,2048691,50.8,6.9,13.4,1.9,27,164644,2,0,0,0.1,97.9,533583,41.1,0.3,5.6,2,51,343546,66.8,0.9,14.3,3.1,14.9,367109,65.3,2.5,20,2.4,9.8,316096,63.6,6.2,21.9,1.8,6.5,323713,45.6,33.5,16.5,0.7,3.6,3986430,51.8,4.5,11.8,1.7,30.2,3496018,52.8,4.7,11.9,1.5,29.2,158974,34.4,4.1,14.1,3.5,43.9,38853,38.3,4,13.7,3,41,113901,57.5,4.2,7,1.4,29.9,5037,51.1,0.6,7.2,4.7,36.4,173647,46.8,2.8,9.6,3.5,37.4,104115,37.5,2.7,11,2.1,46.6,742565,45.9,3.3,9.7,3.1,38.1,2980449,53.8,4.9,12.4,1.2,27.7,3624772,50.2,4.5,12.3,1.5,31.5,465773,61,4,7.9,3,24.1,2007779,52.9,2.1,10.3,1.5,33.3,1498096,55.6,0.7,10,1.5,32.1,2015943,51.6,7,13.6,1.9,25.8,1276394,51.2,2.4,15.3,2.2,29,3.4
Connecticut,2929285,48.9,6.1,10.6,1.5,33,1410786,51.1,2.7,8.9,1.2,36.1,130808,0.4,0,0,0,99.5,333265,24.2,0.1,2.3,0.8,72.6,228965,64.9,0.2,9.6,1.7,23.6,276926,66.5,0.8,14.6,1.7,16.3,220425,70.1,2.1,15.2,1.4,11.2,220397,69.4,13.5,9.9,0.9,6.3,1518499,46.8,9.3,12.1,1.7,30,125008,0.7,0,0,0.1,99.2,324701,31.2,0.1,3.7,1.4,63.6,240781,64,0.6,13.2,2.5,19.6,291584,63.9,2.1,18.5,2.6,12.8,236538,61.9,6.3,20.3,1.9,9.6,299887,40.5,39.4,12.9,1.1,6.1,2875471,49.2,6.2,10.6,1.4,32.5,2334197,51.8,6.7,10.9,1.1,29.6,283393,29.7,4.9,11.4,3.4,50.6,6955,39,3.5,12,0.7,44.9,111592,63.4,3,4.4,0.9,28.4,1157,47.2,4.9,8.7,0,39.2,138177,35.2,2.3,9.8,4,48.7,53814,30.2,2.7,8.9,2.4,55.8,359918,37.3,2.5,9.8,3.6,46.8,2139797,52.8,7.1,11,0.9,28.3,2465975,46.9,6.2,11,1.3,34.6,463310,59.3,5.6,8.6,2.4,24.2,1385094,52.1,2.7,9.1,1.2,35,1014162,55.9,0.9,8.9,1.2,33.1,1494056,47.6,9.4,12.3,1.8,28.9,944561,49.8,2.7,13.9,1.9,31.6,3.3
Delaware,738730,47.8,6.3,11.2,2,32.7,353620,50.3,3,9.7,1.8,35.2,31496,0.6,0,0,0.1,99.3,89358,26.3,0,2.6,1.6,69.5,55271,61,0.6,12,2.5,23.9,63967,63.4,1.2,16.9,2.3,16.1,53934,69.6,2.7,16.4,2.4,8.9,59594,71,13.4,9.2,1.5,4.9,385110,45.5,9.3,12.6,2.1,30.4,30770,0.8,0,0.1,0.1,99,90063,32.3,0.1,3.7,1.5,62.4,58400,58.7,0.9,14.8,4.4,21.2,68804,58.4,3.6,20.7,3.3,13.9,61021,61.9,7.4,19.8,2.2,8.7,76052,44.5,37,13.2,0.9,4.3,726982,48.1,6.3,11.2,2,32.4,533401,51.5,7,11.6,1.6,28.3,150726,33,5.1,11.3,3.2,47.4,2563,37.6,4.5,17.4,2.5,38,24511,69.2,2.5,3.2,1,24,447,55.3,15.4,7.6,2.7,19,15334,45.1,1.5,8.4,3.7,41.4,11748,31.3,3.3,10.6,2.6,52.2,51994,44,2.1,7.3,2.9,43.6,500983,51.9,7.3,11.9,1.6,27.3,665558,46.4,6.5,11.8,1.9,33.4,73172,60.9,4.3,5.7,2.6,26.5,347084,51.2,3.1,9.8,1.9,34,238267,54.1,1.2,9.8,1.9,33.1,379280,46.2,9.4,12.8,2.2,29.4,228429,47.2,3.3,14.5,2.5,32.5,3.1
District of Columbia,530380,26.3,4.8,9.5,2.4,56.9,248008,28.8,2.1,8.5,2.4,58.2,18921,0.4,0,0,0.1,99.5,89777,15.4,0,1.7,0.6,82.4,42516,40.9,0.1,8.8,2.8,47.4,37914,33.6,1.2,14.9,4.1,46.1,30505,41.8,3.3,18.6,5.5,30.8,28375,51.7,12.9,16.1,3.3,16,282372,24.1,7.2,10.4,2.5,55.7,21453,0.4,0.1,0,0,99.5,103149,16.6,0.1,1.6,1.1,80.5,42093,37.3,0.9,10.4,2.7,48.6,38018,32.2,3.7,18,4.5,41.5,35671,33.4,8.6,22.9,5.3,29.8,41988,26.2,36.8,19.8,2.7,14.5,519698,26.4,4.9,9.6,2.5,56.7,224871,33.3,2,6.5,1.1,57.1,255297,19.1,7.8,12.9,3.7,56.6,1763,17.5,3.3,15.8,8.2,55.2,20330,33.6,2.6,3.6,1.7,58.5,199,23.6,0,6,0,70.4,17238,36.5,1.9,7.6,1.8,52.2,10682,23.3,3.4,6.8,2.3,64.2,47417,31.7,2.6,7.4,2.3,56.1,199582,33.6,2,6.5,1,57,448555,23.6,5,9.7,2.4,59.3,81825,41.3,3.7,8.5,2.7,43.8,245455,29.1,2.1,8.6,2.4,57.8,174977,32,0.8,8.2,2.3,56.7,279615,24.4,7.3,10.5,2.5,55.3,182481,25.9,2.3,10.2,2.5,59.1,6.9
Florida,15794224,47,7.1,12.9,2.5,30.5,7648394,49.2,3.1,11.3,2.1,34.2,619413,0.7,0,0,0.1,99.2,1834129,24.7,0.2,3.7,1.5,69.9,1202692,56.7,0.4,13.4,3.3,26.1,1341314,59.9,1.1,18.5,3.3,17.3,1135385,65.7,2.5,19.3,2.5,10,1515461,70.8,12.4,11.4,1.4,4,8145830,45,10.8,14.3,2.9,26.9,583114,1.3,0,0.1,0.2,98.5,1789463,31.8,0.3,5.5,3,59.3,1219350,58.4,1,17.2,5,18.4,1397257,58,3.3,22.4,4.4,11.9,1272182,58.4,8.4,22.6,3,7.6,1884464,43.7,37.8,13.6,1.1,3.8,15528798,47.2,7.2,12.9,2.5,30.2,12344432,50,7.8,13.4,2.2,26.7,2355266,31.3,5.2,11.9,4.3,47.3,48337,41.8,4.8,14,3.3,36.1,393292,59.4,4.8,6.1,1.5,28.3,8851,45.4,2.9,13.1,2.1,36.4,378620,42.5,2.8,10,4.1,40.6,265426,36.2,3.9,12.1,3,44.7,3433492,44.7,4.8,11.8,3.6,35.1,9458298,51.4,8.6,13.8,1.7,24.5,12238443,45.1,7.2,13.1,2.2,32.3,3555781,53.7,6.7,12,3.7,24,7529719,50,3.2,11.5,2.1,33.2,4881679,52,1,11.5,2.3,33.2,8033815,45.6,11,14.5,3,25.9,4474130,45.6,3.4,17.1,3.7,30.2,4.2
Georgia,7737656,47.8,5.6,11.4,2.5,32.8,3735298,50.1,2.3,9.8,2.1,35.7,365465,0.8,0,0.1,0.1,99,1022120,30.3,0.1,3.8,1.6,64.1,681639,61.8,0.5,12.2,2.9,22.6,678012,64.6,1.2,16.4,3.1,14.7,522327,69.6,2.9,16.3,2.7,8.5,465735,72,12.4,10.1,1.5,3.9,4002358,45.6,8.6,12.8,2.9,30.1,346235,1.5,0.1,0.1,0.1,98.2,1024498,36.2,0.3,5.5,2.7,55.3,711092,60.6,1.1,14.6,4.6,19.1,713955,59.9,3.3,20,4.1,12.8,582296,58.8,9.2,21.4,3,7.6,624282,39.8,41.1,13.8,1.3,4,7631196,47.9,5.6,11.4,2.5,32.6,4828918,55.2,6.1,11.4,1.7,25.5,2311579,31.2,5.1,12.6,4.2,46.9,19514,47.6,4.3,12.3,3.3,32.6,262974,62.1,3.4,4.5,1.1,28.8,3785,41,5,13.5,1.7,38.8,204426,47.4,1.6,5.7,3.2,42.1,106460,36.4,3,10.6,2.5,47.5,593296,48.1,2,6.2,3.3,40.5,4479035,55.6,6.4,11.8,1.6,24.5,6839367,46.3,5.8,12,2.5,33.4,898289,58.9,3.5,6.8,2.9,27.9,3663503,51.1,2.4,10,2.2,34.4,2539863,56,0.8,9.7,2.1,31.3,3934671,46.4,8.8,13.1,2.9,28.9,2312781,47.8,2.8,14.9,3.4,31.1,3.6
Hawaii,1121525,50.1,6.1,9.4,1.5,32.9,560477,50.6,2.3,8.5,1.4,37.2,42943,1.3,0.1,0,0.3,98.2,156482,30.3,0.1,2.8,1.1,65.6,88853,60.5,0.4,8.6,1.6,28.9,94183,63.9,1,12.9,2,20.2,87696,66.5,1.8,15.4,1.8,14.5,90320,70.1,11.2,10.6,0.9,7.2,561048,49.7,9.8,10.3,1.6,28.6,40412,2.2,0,0,0.5,97.3,136994,39.4,0.2,3.5,1.3,55.5,86226,66.4,1,11.3,2.3,19,94242,64.2,3,15.9,2.5,14.4,89575,63.9,8.1,17.2,1.9,8.9,113599,43.1,38.5,11.5,0.8,6.1,901867,52.9,6.7,9.5,1.4,29.6,302324,53.3,4.6,12.5,1.5,28.1,19768,49.6,1.1,10.5,3.1,35.8,2861,33.4,4.5,23.2,3.7,35.2,462798,54.5,8.8,7.8,1,27.9,101468,45.3,4.8,7.7,2.4,39.7,12648,52.9,3.7,7.4,2.9,33.1,219658,38.9,3.6,9.2,1.7,46.6,86705,40.7,3.1,9.9,2.8,43.4,279169,53.7,4.8,12.8,1.3,27.5,885602,46.7,5.5,9.9,1.5,36.4,235923,63,8.2,7.5,1.5,19.8,551655,51.4,2.4,8.6,1.4,36.3,394256,53.7,0.8,8.1,1.4,36,552879,50.4,9.9,10.5,1.6,27.5,334539,52.9,3.4,11.8,1.7,30.2,4.7
